GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
books_for_worms,com.project2.util,ConnectionFactory,21,0,2,0,10,0,3,0,2,0
books_for_worms,com.project2.service,LibraryService,127,0,10,0,36,0,11,0,6,0
books_for_worms,com.project2.service,UserService,54,0,2,0,12,0,4,0,3,0
books_for_worms,com.project2.controller,HomeController,132,0,10,0,40,0,12,0,7,0
books_for_worms,com.project2.controller,UserController,144,0,8,0,33,0,11,0,7,0
books_for_worms,com.project2.controller,LibraryController,184,0,4,0,48,0,7,0,5,0
books_for_worms,com.project2.repository.entities,LibraryEntity,151,0,18,0,43,0,20,0,11,0
books_for_worms,com.project2.repository.entities,UserEntity,210,0,32,0,56,0,29,0,13,0
books_for_worms,com.project2.repository.entities,BookEntity,340,0,52,0,86,0,45,0,19,0
books_for_worms,com.project2.models.POM,HomePageFactory,0,23,0,0,0,8,0,3,0,3
books_for_worms,com.project2.models.POM,LoginPageFactory,0,33,0,0,0,10,0,4,0,4
books_for_worms,com.project2.models.POM,RegisterPageFactory,0,47,0,0,0,14,0,6,0,6
books_for_worms,com.project2.repository,LibraryDao,306,0,8,0,110,0,13,0,9,0
books_for_worms,com.project2.repository,BookDao,489,0,18,0,162,0,19,0,10,0
books_for_worms,com.project2.repository,UserDao,228,0,10,0,85,0,12,0,7,0
books_for_worms,com.project2,App,104,0,0,0,46,0,16,0,16,0
books_for_worms,com.project2.models,UserModel,201,0,32,0,53,0,29,0,13,0
